total_crime_reported_per_1_million_res,annual_police_funding_per_res,%_high_school_25yearsPlus,%_16_to_19_not_in_HS,%_18_to_24_in_college,%_college_degree
119,27,54,26,19,12
180,33,69,17,17,19
220,27,43,10,35,14
287,28,42,11,38,20
67,20,58,28,23,25
432,57,66,24,35,11
98,21,55,13,46,8
252,40,73,24,17,19
651,66,63,11,43,9
505,58,68,18,19,14
255,38,60,11,16,19
172,32,64,15,16,12
374,42,62,16,23,25
285,32,38,12,26,20
432,43,46,25,43,11
155,37,77,21,31,13
125,30,69,25,16,21
-13,20,76,28,46,13
692,63,39,18,33,16
305,39,64,11,33,16
666,60,60,15,18,19
370,49,66,11,18,13
263,43,69,15,35,13
532,48,35,7,36,8
633,51,41,17,29,13
416,53,69,9,42,20
650,64,62,27,26,15
282,39,48,27,35,11
209,35,76,7,32,21
601,61,60,11,14,11
540,65,76,8,35,23
332,43,67,15,43,19
267,46,71,11,19,21
65,22,64,17,39,18
521,59,69,9,24,24
175,22,43,22,31,12
551,55,38,17,17,25
504,48,46,15,23,25
260,31,45,7,23,20
233,35,63,12,41,22
515,57,43,23,39,14
242,33,51,21,35,12
121,28,68,16,25,19
280,29,37,24,38,8
326,34,44,15,16,17
337,42,40,18,15,22
624,57,42,12,36,19
83,27,66,21,31,12
234,24,42,26,34,24
307,42,76,21,30,22
389,42,40,13,13,17
772,60,38,6,23,13
303,47,78,6,18,12
349,40,55,26,15,14
366,38,47,23,31,11
68,27,75,19,31,20
160,34,77,23,41,8
339,37,50,26,17,9
664,54,50,24,43,21
538,61,69,12,31,19
487,45,39,17,33,8
403,39,48,14,34,9
528,63,78,27,13,14
349,47,66,24,35,8
102,25,64,22,42,20
442,54,51,12,21,17
464,58,59,25,14,10
508,62,54,26,25,15
482,65,76,25,41,18
781,63,41,13,15,17
246,41,64,8,30,19
330,33,38,28,23,16
10,21,76,18,46,19
109,28,65,26,29,22
677,64,55,21,28,18
781,61,44,26,22,24
56,20,61,22,32,22
568,62,72,20,46,24
109,25,68,18,44,17
488,52,60,24,40,9
802,64,38,28,31,23
199,37,65,18,13,19
479,53,57,18,37,15
223,38,76,16,15,22
364,55,74,6,24,11
121,26,61,12,31,24
652,61,54,23,37,13
418,35,39,16,39,13
192,22,38,13,24,22
297,37,61,24,23,14
227,43,78,28,21,9
687,65,76,28,46,12
460,56,67,26,27,15
69,24,66,27,26,14
399,50,61,11,30,23
367,36,39,17,40,20
400,47,56,8,22,23
481,40,35,28,19,14
261,31,44,6,46,9
783,62,40,12,45,25
296,28,35,18,15,22
412,48,57,27,42,16
203,28,40,11,36,12
379,48,70,13,18,12
463,52,68,27,20,15
71,26,67,21,21,15
442,40,48,12,29,17
654,62,71,17,36,11
530,64,55,21,19,11
95,30,78,9,19,21
529,52,41,28,26,20
498,39,37,14,38,20
369,41,61,8,42,16
30,20,57,11,13,17
376,44,65,21,17,23
217,37,77,20,38,20
616,64,77,6,38,14
141,34,78,24,45,10
465,46,52,13,26,17
332,36,52,19,41,23
243,37,70,20,43,19
431,59,78,15,24,20
189,37,75,19,20,13
384,44,56,19,22,11
487,57,71,26,27,8
655,52,49,26,44,20
480,57,44,23,16,17
470,52,65,18,40,25
240,39,75,22,28,16
145,33,71,18,15,10
573,60,77,22,20,25
660,56,54,19,42,19
394,41,55,9,35,15
251,27,37,15,45,24
161,29,62,25,24,12
198,38,75,17,19,16
388,49,58,23,32,11
449,58,59,12,25,22
445,52,45,27,14,10
277,35,51,17,38,17
512,56,35,7,13,8
525,59,45,11,28,13
347,43,44,13,43,9
315,37,52,7,26,23
238,30,60,22,46,24
560,48,44,13,36,10
236,40,71,22,35,15
373,45,50,14,27,11
268,37,48,10,21,23
15,23,77,10,30,24
220,31,59,15,25,22
498,65,65,12,34,9
433,48,68,15,20,22
131,29,64,15,25,19
159,26,47,6,18,9
619,58,58,15,18,19
842,66,44,7,13,24
484,53,51,28,36,21
598,60,55,18,25,17
347,45,64,11,16,10
422,50,48,19,33,21
180,41,78,15,22,10
332,45,66,23,39,17
585,64,36,6,20,8
465,37,42,17,43,21
527,58,77,28,42,20
439,52,42,8,19,14
250,33,49,19,44,23
494,62,57,23,26,13
351,37,49,14,35,18
131,24,50,27,29,10
195,24,44,13,33,10
662,66,56,21,44,18
227,32,58,19,25,13
492,48,52,13,20,21
256,41,67,25,20,23
474,49,52,14,14,23
294,39,67,13,45,10
390,53,71,23,18,11
133,34,72,27,31,9
382,49,72,22,26,25
191,33,58,28,31,12
115,25,56,6,39,12
503,58,62,19,35,11
347,40,42,11,15,9
522,48,52,13,43,12
322,41,59,22,44,11
420,37,43,21,41,24
497,52,71,19,34,21
563,62,60,10,20,8
359,39,45,15,16,20
220,37,65,14,27,13
380,40,41,11,15,25
286,46,67,26,23,9
374,40,56,18,34,24
630,57,36,25,17,22
562,43,37,8,40,11
78,22,59,15,46,9
246,31,43,12,13,18
549,61,48,20,40,25
383,39,37,9,18,10
629,60,47,15,29,23
373,42,61,23,33,15
420,52,64,15,40,18
94,25,58,24,20,12
565,62,44,24,25,9
361,32,36,10,40,10
154,20,41,9,25,22
158,28,59,15,42,23
567,60,45,6,38,20
517,56,73,24,14,22
332,30,35,16,31,9
21,20,68,16,32,24
163,25,45,27,15,18
560,49,35,9,25,22
19,24,69,15,20,9
206,29,56,15,15,24
623,58,41,13,43,17
128,30,72,23,42,18
643,58,40,6,26,8
326,44,65,8,34,18
594,59,37,14,37,24
11,21,71,28,40,12
318,50,78,27,19,20
246,35,68,11,42,9
378,42,39,18,19,8
240,41,76,27,41,25
237,29,45,17,42,17
389,39,35,7,29,14
336,43,62,13,13,17
141,24,47,20,14,23
582,52,49,25,37,17
365,43,49,7,34,22
118,24,57,7,36,8
251,34,57,26,24,17
285,37,65,10,31,23
154,35,70,18,23,17
488,49,40,25,41,9
256,39,70,13,29,25
329,45,51,26,14,25
398,47,59,15,31,20
542,60,68,22,19,16
292,51,75,23,26,9
309,46,62,28,18,23
681,66,65,12,36,16
624,65,53,8,40,14
137,28,49,10,15,11
234,31,47,23,35,20
581,57,56,12,19,17
567,58,51,13,31,25
172,36,72,13,21,24
185,36,75,8,43,18
416,41,43,18,35,24
621,65,68,14,18,13
404,47,41,24,36,10
262,24,35,7,25,23
628,66,47,14,17,25
136,23,49,23,42,21
580,56,69,21,24,25
304,41,70,20,43,16
514,62,71,21,41,8
142,31,68,10,28,24
471,50,52,16,21,21
221,29,53,10,34,8
96,22,54,8,24,24
518,59,66,24,32,11
390,51,66,20,13,8
231,28,49,12,18,25
432,58,66,12,33,19
505,44,49,8,43,8
304,38,60,14,23,9
650,63,47,21,22,23
153,31,67,23,34,24
468,48,43,16,14,18
37,23,70,25,41,13
451,53,68,27,41,20
69,30,78,17,20,15
742,60,46,22,37,21
240,34,53,13,20,14
196,38,74,15,23,23
161,28,53,10,24,16
394,39,46,18,32,24
668,56,48,27,26,20
523,61,61,15,41,25
421,47,42,13,43,18
463,43,37,25,16,21
545,58,63,11,22,16
462,61,73,19,25,22
133,30,69,23,46,19
359,42,35,8,27,10
420,51,46,18,22,17
676,53,37,25,23,8
510,50,45,16,14,16
627,53,39,27,30,23
178,26,36,17,14,9
379,54,66,16,17,9
452,49,62,19,43,12
19,22,75,11,46,15
216,35,68,13,20,22
232,38,62,27,24,12
388,42,61,10,35,16
377,49,75,14,18,14
240,43,74,13,17,14
712,63,41,21,22,22
301,38,68,21,35,21
546,59,36,17,29,10
304,30,42,13,38,24
135,36,76,9,14,11
209,38,69,11,15,12
273,48,78,8,29,11
255,34,40,19,31,10
467,63,71,11,22,8
463,58,64,10,25,20
554,51,44,9,28,20
446,49,37,9,18,17
654,61,36,26,38,17
447,48,59,13,20,10
606,64,37,16,45,8
744,62,43,15,39,8
476,54,67,28,40,17
215,38,68,22,44,10
549,64,76,24,34,11
142,27,58,14,14,23
587,57,73,14,32,25
228,31,61,26,36,15
380,39,38,18,24,10
296,31,38,16,41,21
165,24,41,16,25,13
320,43,70,9,21,21
470,48,42,23,18,16
539,46,35,10,28,24
543,64,68,6,38,8
249,37,53,6,14,22
408,47,58,7,27,15
374,40,47,14,22,14
401,53,71,12,26,22
461,46,41,20,42,11
550,53,54,6,19,22
181,27,41,26,28,8
19,25,77,6,24,17
54,21,57,7,22,12
477,52,60,14,36,9
741,66,48,28,38,21
38,24,74,14,26,24
339,44,75,17,27,24
109,32,70,22,23,11
350,47,77,16,20,15
330,47,67,28,44,9
557,54,48,7,27,15
358,47,76,11,18,15
609,65,76,12,19,19
425,56,69,9,14,22
63,22,58,26,20,13
333,39,49,10,38,12
576,64,66,17,44,24
455,61,59,8,22,11
331,44,51,22,31,17
609,66,49,18,37,20
756,64,54,18,40,15
794,62,37,11,14,11
41,25,71,10,24,16
410,41,57,20,34,20
396,55,71,28,14,13
312,41,59,26,16,23
251,34,63,25,34,18
472,50,61,22,26,8
419,53,73,17,19,20
651,56,50,16,35,10
303,41,55,6,43,15
369,38,42,15,25,25
471,51,65,11,46,25
745,65,41,23,29,8
425,49,63,18,15,24
461,39,36,20,13,23
351,34,44,24,29,18
403,56,66,26,16,13
371,41,51,18,39,13
608,66,72,19,31,11
622,49,37,7,42,19
530,62,71,11,30,11
348,34,45,24,31,12
139,25,57,12,38,24
643,61,57,15,30,13
526,54,40,25,39,15
559,62,43,14,20,15
48,26,77,16,27,21
559,54,39,22,36,13
616,52,39,12,17,21
222,34,55,11,26,17
296,38,62,8,22,10
125,26,58,11,18,11
393,44,64,26,22,15
348,43,66,27,30,23
124,27,63,11,30,20
527,52,45,11,24,16
419,40,37,13,20,14
225,38,66,9,44,20
276,31,52,21,42,19
559,51,46,26,33,21
83,21,54,19,40,13
345,47,73,28,20,9
299,28,37,12,34,21
660,53,45,19,37,8
233,35,67,8,26,14
